"campaign","identifier","cell","block","estimator","metric","tau","value","mc_se","wilson_lo","wilson_hi","n","commit"
"mddina","dina","md40 n500","joint","separate_s","cov_Hc",,0.89679359,0.00680956,0.882676,0.909387,1996,"1856c107"
"mddina","dina","md40 n500","joint","separate_s","margin_H_md",,49.926328,0.0826598,,,1996,"1856c107"
"mddina","dina","md40 n500","joint","separate_s","margin_Hc_md",,23.345905,0.0418187,,,1996,"1856c107"
"mddina","dina","md40 n500","joint","calibrated","gamma_mean_s",,0.025155311,8.41318e-06,,,1996,"1856c107"
"mddina","dina","md40 n500","joint","calibrated","corr_s",,0.087904376,0.00132721,,,1996,"1856c107"
"mddina","dina","md40 n500","joint","calibrated","gamma_mean",,0.025124749,7.56582e-06,,,1996,"1856c107"
"mddina","dina","md40 n500","joint","calibrated","corr",,0.09053473,0.00135213,,,1996,"1856c107"
"mddina","dina","md40 n500","H","all","mean_proposed_n",,3341.6538,47.3585,,,1996,"1856c107"
"mddina","dina","md40 n500","H","all","mean_size_hhat",,108.53257,0.709276,,,1996,"1856c107"
"mddina","dina","md40 n500","H","all","mean_true_positives",,42.385772,0.588807,,,1996,"1856c107"
"mddina","dina","md40 n500","H","all","sensitivity_mean",,0.24621809,0.00340825,,,1996,"1856c107"
"mddina","dina","md40 n500","H","all","ppv_mean",,0.38877718,0.0047285,,,1996,"1856c107"
"mddina","dina","md40 n500","H","all","mean_n_family",,3341.6538,47.3585,,,1996,"1856c107"
"mddina","dina","md40 n500","H","all","mean_admitted_n",,2631.0155,42.9631,,,1996,"1856c107"
"mddina","dina","md40 n500","H","all","share_size_larger_than_fs",,0.42706767,0.0110746,0.405522,0.448893,1995,"1856c107"
"mddina","dina","md40 n500","H","all","count_size_larger_than_fs",,852,,,,1995,"1856c107"
"mddina","dina","md40 n500","H","all","share_size_equal_than_fs",,0.046616541,0.0047199,0.038205,0.0567708,1995,"1856c107"
"mddina","dina","md40 n500","H","all","count_size_equal_than_fs",,93,,,,1995,"1856c107"
"mddina","dina","md40 n500","H","all","share_size_smaller_than_fs",,0.52631579,0.0111788,0.504376,0.548154,1995,"1856c107"
"mddina","dina","md40 n500","H","all","count_size_smaller_than_fs",,1050,,,,1995,"1856c107"
"mdsgnb20","fs","md40 n500","H","all","declaration_rate",,0.999,0.000706753,0.996361,0.999726,2000,"72e6f129"
"mdsgnb20","fs","md40 n500","H","all","mean_n_sel",,111.62412,0.718135,,,1998,"72e6f129"
"mdsgnb20","fs","md40 n500","H","all","sensitivity_mean",,0.26791206,0.00383842,,,1998,"72e6f129"
"mdsgnb20","fs","md40 n500","H","all","ppv_mean",,0.41223283,0.00526753,,,1998,"72e6f129"
"mdgrf","grf","md40 n500","H","all","declaration_rate",,1,0,0.998083,1,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","all","mean_size_hhat",,109.459,0.793484,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","all","sensitivity_mean",,0.24967625,0.003435,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","all","ppv_mean",,0.39086792,0.00464715,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","all","mean_n_family",,1222.3815,1.04192,,,2000,"c4c49572"
