"sim","seed","errored","error_msg","any.H","size.H","sg.def","p.cens","n_candidates_total","n_passed","hr.itt","warnings","seconds"
23,8316974,FALSE,NA,1,86,"!{pgr <= 108} & {age <= 54}",0.583090379008746,188,8,0.783520932927404,"",4.884
24,8316975,FALSE,NA,0,0,"",0.558309037900875,8,0,0.608698963111276,"",3.306
25,8316976,FALSE,NA,0,0,"",0.574344023323615,2,0,0.601513976607081,"",3.623
26,8316977,FALSE,NA,1,147,"!{pgr <= 76} & {meno}",0.561224489795918,208,11,0.745490459924278,"",4.961
27,8316978,FALSE,NA,1,79,"{grade3} & !{size <= 29}",0.603498542274052,54,2,0.586830158433962,"",3.673
28,8316979,FALSE,NA,0,0,"",0.60932944606414,2,0,0.516711389736667,"",3.482
29,8316980,FALSE,NA,1,161,"!{er <= 33} & {age <= 53}",0.590379008746356,159,4,0.796330143506541,"",5.21000000000001
30,8316981,FALSE,NA,1,82,"{age <= 53} & {meno}",0.594752186588921,32,1,0.640771809977418,"",3.64400000000002
31,8316982,FALSE,NA,0,0,"",0.555393586005831,27,0,0.610814177831048,"",3.56199999999998
32,8316983,FALSE,NA,0,0,"",0.588921282798834,26,0,0.680784627691685,"",3.595
