"table","row","col","alpha","c0","cell","design_hr","n","value","count","denominator","source_column","source_payload"
"S4","conventional","C3",0.1,,"C3","2","1000",0.9635,1927,2000,"declared_conv","declcalc0_power_C3_res_1_2000.rds"
"S4","conventional","C4",0.1,,"C4","2","1500",0.988,1976,2000,"declared_conv","declcalc0_power_C4_res_1_2000.rds"
"S4","fixed_k2.0","B1",0.1,,"B1","0.657","500",0.029,58,2000,"max_T_post>=2.0","declcalc0_inull_B1_res_1_2000.rds"
"S4","fixed_k2.0","B2",0.1,,"B2","0.657","1000",0.0105,21,2000,"max_T_post>=2.0","declcalc0_inull_B2_res_1_2000.rds"
"S4","fixed_k2.0","B3",0.1,,"B3","0.657","1500",0.0025,5,2000,"max_T_post>=2.0","declcalc0_inull_B3_res_1_2000.rds"
"S4","fixed_k2.0","B4",0.1,,"B4","0.721","500",0.0725,145,2000,"max_T_post>=2.0","declcalc0_inull_B4_res_1_2000.rds"
"S4","fixed_k2.0","B5",0.1,,"B5","0.721","1000",0.0305,61,2000,"max_T_post>=2.0","declcalc0_inull_B5_res_1_2000.rds"
"S4","fixed_k2.0","B6",0.1,,"B6","0.721","1500",0.0065,13,2000,"max_T_post>=2.0","declcalc0_inull_B6_res_1_2000.rds"
"S4","fixed_k2.0","max_B",0.1,,"B4","0.721","500",0.0725,145,2000,"max_T_post>=2.0","declcalc0_inull_B4_res_1_2000.rds"
"S4","fixed_k2.0","C1",0.1,,"C1","1.5","1000",0.5255,1051,2000,"max_T_post>=2.0","declcalc0_power_C1_res_1_2000.rds"
"S4","fixed_k2.0","C2",0.1,,"C2","1.5","1500",0.6475,1295,2000,"max_T_post>=2.0","declcalc0_power_C2_res_1_2000.rds"
"S4","fixed_k2.0","C3",0.1,,"C3","2","1000",0.9095,1819,2000,"max_T_post>=2.0","declcalc0_power_C3_res_1_2000.rds"
"S4","fixed_k2.0","C4",0.1,,"C4","2","1500",0.9705,1941,2000,"max_T_post>=2.0","declcalc0_power_C4_res_1_2000.rds"
